Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Type,Maturity,index
AMZN231215P00132000,2023-12-08 10:35AM EST,132.0,0.05,0.05,0.06,-0.01,-16.67%,14.0,2871,35.35%,Put,2023-12-15,235
AMZN231215P00133000,2023-12-07 3:54PM EST,133.0,0.08,0.06,0.07,0.0,-,34.0,1338,33.99%,Put,2023-12-15,236
AMZN231215P00134000,2023-12-08 10:05AM EST,134.0,0.07,0.07,0.08,-0.02,-22.22%,11.0,1254,32.42%,Put,2023-12-15,237
AMZN231215P00135000,2023-12-08 10:53AM EST,135.0,0.09,0.08,0.09,-0.02,-18.18%,412.0,26518,30.86%,Put,2023-12-15,238
AMZN231215P00136000,2023-12-08 10:50AM EST,136.0,0.11,0.09,0.1,-0.03,-21.43%,193.0,2988,29.10%,Put,2023-12-15,239
AMZN231215P00137000,2023-12-08 10:49AM EST,137.0,0.14,0.12,0.13,-0.03,-17.65%,161.0,3171,28.22%,Put,2023-12-15,240
AMZN231215P00138000,2023-12-08 10:54AM EST,138.0,0.16,0.16,0.17,-0.04,-20.00%,165.0,2801,27.34%,Put,2023-12-15,241
AMZN231215P00139000,2023-12-08 10:36AM EST,139.0,0.25,0.2,0.21,-0.02,-7.41%,151.0,3147,26.07%,Put,2023-12-15,242
AMZN231215P00140000,2023-12-08 10:54AM EST,140.0,0.28,0.28,0.29,-0.09,-24.32%,835.0,19399,25.49%,Put,2023-12-15,243
AMZN231215P00141000,2023-12-08 10:50AM EST,141.0,0.41,0.38,0.39,-0.07,-14.58%,416.0,2500,24.81%,Put,2023-12-15,244
AMZN231215P00142000,2023-12-08 10:52AM EST,142.0,0.55,0.52,0.53,-0.07,-11.29%,1014.0,5147,24.27%,Put,2023-12-15,245
AMZN231215P00143000,2023-12-08 10:50AM EST,143.0,0.76,0.73,0.75,-0.09,-10.59%,896.0,4341,24.27%,Put,2023-12-15,246
AMZN231215P00144000,2023-12-08 10:54AM EST,144.0,0.98,0.99,1.0,-0.11,-10.09%,1854.0,4446,23.83%,Put,2023-12-15,247
AMZN231215P00145000,2023-12-08 10:54AM EST,145.0,1.3,1.32,1.33,-0.12,-8.45%,5131.0,15031,23.63%,Put,2023-12-15,248
AMZN231215P00146000,2023-12-08 10:54AM EST,146.0,1.72,1.7,1.71,-0.12,-6.52%,3524.0,3731,23.15%,Put,2023-12-15,249
